#Wave		#Intensity
3203.165039	9650.313477
3201.841797	9740.591797
3200.517578	9802.320312
3199.192383	9811.382812
3197.868164	9638.127930
3196.542969	9831.372070
3195.217773	9699.519531
3193.891602	9744.280273
3192.565430	9839.721680
3191.239258	9959.524414
3189.913086	9747.050781
3188.585938	9842.423828
3187.258789	9810.177734
3185.930664	9755.436523
3184.603516	9828.238281
3183.275391	9700.398438
3181.946289	9703.824219
3180.618164	9754.098633
3179.289062	9811.842773
3177.959961	9818.985352
3176.629883	9670.688477
3175.299805	9889.427734
3173.969727	9711.231445
3172.639648	9793.245117
3171.308594	9708.700195
3169.977539	9568.076172
3168.646484	9678.117188
3167.314453	9659.094727
3165.982422	9827.012695
3164.650391	9987.377930
3163.317383	9979.507812
3161.984375	9831.536133
3160.651367	9840.511719
3159.317383	9825.208984
3157.983398	9752.042969
3156.649414	9740.498047
3155.315430	9904.355469
3153.980469	9894.645508
3152.645508	9931.566406
3151.309570	9860.320312
3149.974609	9708.942383
3148.638672	9850.251953
3147.301758	9933.731445
3145.965820	9879.312500
3144.628906	9780.216797
3143.291016	9973.518555
3141.954102	9969.391602
3140.616211	9957.820312
3139.278320	9884.845703
3137.939453	9821.206055
3136.600586	9880.354492
3135.261719	10125.433594
3133.922852	10011.583008
3132.583008	9847.596680
3131.243164	10055.348633
3129.902344	10084.646484
3128.562500	9957.903320
3127.221680	10031.778320
3125.879883	10033.209961
3124.539062	10094.039062
3123.197266	10117.724609
3121.855469	10050.485352
3120.512695	10014.810547
3119.169922	10196.128906
3117.827148	10075.147461
3116.483398	10024.659180
3115.139648	9857.438477
3113.795898	10031.213867
3112.452148	9997.439453
3111.107422	10071.094727
3109.762695	10126.200195
3108.417969	10131.299805
3107.072266	9930.965820
3105.726562	10089.680664
3104.380859	10137.329102
3103.034180	10055.493164
3101.687500	9986.637695
3100.340820	9921.509766
3098.993164	9978.391602
3097.645508	10194.155273
3096.297852	10204.763672
3094.949219	10080.540039
3093.601562	10052.391602
3092.251953	10046.408203
3090.903320	10271.134766
3089.553711	10119.328125
3088.204102	10139.159180
3086.854492	10090.736328
3085.503906	10241.486328
3084.153320	10191.217773
3082.801758	9986.147461
3081.451172	10289.761719
3080.099609	10064.495117
3078.747070	10145.083984
3077.395508	10157.500000
3076.042969	10223.300781
3074.689453	10125.255859
3073.336914	10049.335938
3071.983398	10036.003906
3070.629883	10180.861328
3069.275391	10097.624023
3067.920898	10181.728516
3066.566406	10140.803711
3065.211914	10274.475586
3063.856445	10228.035156
3062.500977	10194.471680
3061.144531	10181.125000
3059.789062	10277.942383
3058.431641	10231.540039
3057.075195	10309.949219
3055.717773	10395.661133
3054.360352	10618.907227
3053.002930	10442.258789
3051.644531	10461.874023
3050.286133	10514.473633
3048.927734	10506.572266
3047.568359	10555.471680
3046.209961	10474.290039
3044.849609	10490.208008
3043.490234	10487.808594
3042.129883	10468.934570
3040.769531	10342.090820
3039.408203	10497.080078
3038.046875	10549.556641
3036.685547	10503.250000
3035.324219	10597.753906
3033.961914	10491.129883
3032.599609	10538.074219
3031.236328	10581.341797
3029.873047	10683.045898
3028.509766	10625.809570
3027.146484	10632.505859
3025.782227	10511.411133
3024.417969	10538.205078
3023.053711	10606.955078
3021.688477	10703.036133
3020.323242	10700.583984
3018.958008	10802.068359
3017.591797	10733.963867
3016.225586	10707.809570
3014.859375	10772.776367
3013.492188	10675.575195
3012.125000	10787.873047
3010.757812	10774.474609
3009.390625	10726.491211
3008.022461	10918.782227
3006.653320	10545.062500
3005.285156	10824.630859
3003.916016	10760.306641
3002.546875	10736.017578
3001.176758	10962.624023
2999.807617	11038.265625
2998.436523	10939.421875
2997.066406	10864.241211
2995.695312	10874.461914
2994.324219	10982.738281
2992.953125	11063.730469
2991.581055	10979.510742
2990.208984	11165.716797
2988.835938	11130.496094
2987.463867	11316.580078
2986.090820	11228.750000
2984.716797	11385.715820
2983.343750	11350.473633
2981.969727	11443.912109
2980.594727	11383.306641
2979.220703	11420.540039
2977.845703	11653.336914
2976.469727	11799.121094
2975.094727	11847.091797
2973.718750	11880.562500
2972.341797	11883.258789
2970.965820	12207.928711
2969.588867	12252.141602
2968.211914	12471.709961
2966.833984	12785.171875
2965.456055	12583.441406
2964.078125	12670.885742
2962.699219	13117.752930
2961.321289	13176.136719
2959.941406	13160.466797
2958.562500	13207.981445
2957.182617	13302.395508
2955.802734	13346.245117
2954.421875	13489.286133
2953.041992	13379.777344
2951.660156	13547.985352
2950.279297	13784.614258
2948.897461	13765.219727
2947.515625	13763.851562
2946.132812	14142.573242
2944.750977	14000.641602
2943.368164	14103.648438
2941.984375	14141.802734
2940.600586	14349.110352
2939.216797	14297.223633
2937.833008	14554.766602
2936.448242	14583.785156
2935.063477	14722.469727
2933.678711	15078.603516
2932.292969	14762.410156
2930.907227	15053.684570
2929.521484	14947.818359
2928.134766	15398.754883
2926.748047	15346.723633
2925.360352	15472.434570
2923.973633	15725.513672
2922.585938	15599.872070
2921.197266	15653.677734
2919.809570	15784.578125
2918.420898	15956.658203
2917.031250	15780.879883
2915.642578	15882.980469
2914.252930	15888.273438
2912.863281	15909.685547
2911.472656	15843.327148
2910.082031	15742.976562
2908.691406	15814.529297
2907.299805	15787.609375
2905.908203	15694.495117
2904.516602	15461.884766
2903.124023	15597.818359
2901.731445	15472.623047
2900.338867	15354.634766
2898.945312	15393.981445
2897.551758	15272.489258
2896.158203	15394.012695
2894.764648	15052.889648
2893.370117	15056.552734
2891.974609	15235.165039
2890.580078	15251.276367
2889.184570	15251.318359
